name,state_id
Tarn Taran,21
,
,
Ajmer,22
Alwar,22
Banswara,22
Baran,22
Barmer,22
Bharatpur,22
Bhilwara,22
Bikaner,22
Bundi,22
Chittaurgarh,22
Churu,22
Dausa,22
Dhaulpur,22
Dungarpur,22
Jaipur,22
Jaisalmer,22
Jalor,22
Jhalawar,22
Jhunjhunun,22
Jodhpur,22
Karauli,22
Kota,22
Nagaur,22
Pali,22
Pratapgarh,22
Rajsamand,22
Sawai Madhopur,22
Sikar,22
Sirohi,22
Tonk,22
Udaipur,22
,
,
East District,23
North District,23
South District,23
West District,23
,
Ariyalur,24
Chennai,24
Coimbatore,24
Cuddalore,24
Dharmapuri,24
Dindigul,24
Erode,24
Kancheepuram,24
Kanniyakumari,24
Karur,24
Krishnagiri,24
Madurai,24
Nagapattinam,24
Namakkal,24
Perambalur,24
Pudukkottai,24
Ramanathapuram,24
Salem,24
Sivaganga,24
Thanjavur,24
The Nilgiris,24
Theni,24
Thiruvallur,24
Thiruvarur,24
Thoothukkudi,24
Tiruchirappalli,24
Tirunelveli,24
Tiruppur,24
Tiruvannamalai,24
Vellore,24
Viluppuram,24
Virudhunagar,24
,
,
Adilabad,25
Hyderabad,25
Karimnagar,25
Khammam,25
Mahbubnagar,25
Medak,25
Nalgonda,25
Nizamabad,25
Rangareddy,25
Warangal,25
,
,
Dhalai,26
North Tripura,26
South Tripura,26
West Tripura,26
,
Agra,27
Aligarh,27
Allahabad,27
Ambedkar Nagar,27
Auraiya,27
Azamgarh,27
Baghpat,27
Bahraich,27
Ballia,27
Balrampur,27
Banda,27
Bara,27
Banki,27
Bareilly,27
Basti,27
Bijnor,27
Budaun,27
Bulandshahr,27
Chandauli,27
Chitrakoot,27
Deoria,27
Etah,27
Etawah,27
Faizabad,27
Farrukhabad,27
Fatehpur,27
Firozabad,27
Gautam Buddha Nagar,27
Ghaziabad,27
Ghazipur,27
Gonda,27
Gorakhpur,27
Hamirpur,27
Hardoi,27
Jalaun,27
Jaunpur,27
Jhansi,27
Jyotiba Phule Nagar,27
Kannauj,27
Kanpur Dehat,27
Kanpur Nagar,27
Kanshiram Nagar,27
Kaushambi,27
Kheri,27
Kushinagar,27
Lalitpur,27
Lucknow,27
Mahamaya Nagar,27
Mahoba,27
Mahrajganj,27
Mainpuri,27
Mathura,27
Mau ,27
Meerut,27
Mirzapur,27
Moradabad,27
Muzaffarnagar,27
Pilibhit,27
Pratapgarh,27
Rae Bareli,27
Rampur,27
Saharanpur,27
Sant Kabir Nagar,27
Sant Ravidas Nagar,27
Shahjahanpur Shrawasti,27
Siddharthnagar,27
Sitapur,27
Sonbhadra,27
Sultanpur,27
Unnao,27
Varanasi,27
,
Bageshwar,28
Chamoli,28
Champawat,28
Dehradun,28
Garhwal,28
Hardwar,28
Nainital,28
Pithoragarh,28
Rudraprayag,28
Tehri Garhwal,28
Udham Singh Nagar,28
Uttarkashi,28
,
,
Bankura,29
Barddhaman,29
Birbhum,29
Dakshin,29
Dinajpur,29
Darjiling,29
Haora,29
Hugli,29
Jalpaiguri,29
Koch Bihar,29
Kolkata,29
Maldah,29
Murshidabad,29
Nadia,29
North Twenty Four Parganas,29
Paschim Medinipur,29
Purba Medinipur,29
Puruliya,29
South Twenty Four Parganas,29
Uttar Dinajpur,29
